"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
15520,2,21455,"SUPPL",9,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021455s009lbl.pdf","2010-01-08 00:00:00",
15521,2,21455,"SUPPL",11,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021455s011lbl.pdf","2011-01-31 00:00:00",
27842,1,21455,"SUPPL",11,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021455s011ltr.pdf","2011-02-02 00:00:00",
27843,1,21455,"SUPPL",13,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021455s013ltr.pdf","2011-07-06 00:00:00",
5440,1,21455,"SUPPL",14,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021455Orig1s014,s015ltr.pdf","2013-04-24 00:00:00",
15522,2,21455,"SUPPL",14,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021455s014s015lbl.pdf","2013-04-23 00:00:00",
27844,1,21455,"SUPPL",15,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/021455Orig1s014,s015ltr.pdf","2013-04-24 00:00:00",
36981,2,21455,"SUPPL",15,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021455s014s015lbl.pdf","2013-04-23 00:00:00",
27845,1,21455,"SUPPL",18,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/021455Orig1s018ltr.pdf","2014-12-18 00:00:00",
36982,2,21455,"SUPPL",18,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021455s18lbl.pdf","2014-12-19 00:00:00",
15523,2,21455,"SUPPL",19,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021455s019lbl.pdf","2015-03-24 00:00:00",
27846,1,21455,"SUPPL",19,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/021455Orig1s019ltr.pdf","2015-03-19 00:00:00",
5441,1,21455,"SUPPL",20,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/021455Orig1s020ltr.pdf","2015-04-13 00:00:00",
36983,2,21455,"SUPPL",20,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021455s020lbl.pdf","2015-04-10 00:00:00",
46095,2,21455,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf","2016-12-07 00:00:00",
46097,8,21455,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19","2016-12-08 00:00:00",
46098,1,21455,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/021455Orig1s021ltr.pdf","2016-12-08 00:00:00",
5442,1,21456,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/21456,20973se8-013ltr.pdf","2004-05-25 00:00:00",
21671,3,21456,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/021456_aciphex.cfm","2003-04-25 00:00:00",
23663,10,21456,"ORIG",1,"0","http://www.fda.gov/Drugs/DrugSafety/InformationbyDrugClass/ucm213259.htm","2011-12-20 00:00:00",
36984,2,21456,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20973S013lbl.pdf","2004-05-25 00:00:00",
5443,1,21457,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/21457ltr.pdf","2004-11-08 00:00:00",
5444,1,21457,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/021457s001ltr.pdf","2005-05-04 00:00:00",
21672,3,21457,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021457s000TOC.cfm","2007-04-30 00:00:00",
36985,2,21457,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/21457lbl.pdf","2004-11-08 00:00:00",
36986,2,21457,"SUPPL",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021457s001lbl.pdf","2005-05-04 00:00:00",
27847,1,21457,"SUPPL",2,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/021457s002,004ltr.pdf","2005-11-30 00:00:00",
36987,2,21457,"SUPPL",2,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021457s002,004lbl.pdf","2005-11-30 00:00:00",
23958,12,21457,"SUPPL",3,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021457s003Exclultr.pdf","2006-02-08 00:00:00",
36988,2,21457,"SUPPL",3,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021457s003lbl.pdf","2007-01-17 00:00:00",
5445,1,21457,"SUPPL",4,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/021457s002,004ltr.pdf","2005-11-30 00:00:00",
36989,2,21457,"SUPPL",4,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021457s002,004lbl.pdf","2005-11-30 00:00:00",
27848,1,21457,"SUPPL",13,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/021457s013ltr.pdf","2008-09-17 00:00:00",
36990,2,21457,"SUPPL",13,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/021457s013lbl.pdf","2008-09-19 00:00:00",
5446,1,21457,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/021457s021ltr.pdf","2010-08-20 00:00:00",
15524,2,21457,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021457s021lbl.pdf","2010-08-19 00:00:00",
27849,1,21457,"SUPPL",22,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/021457s022ltr.pdf","2010-12-15 00:00:00",
15525,2,21457,"SUPPL",26,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021457s026lbl.pdf","2012-11-29 00:00:00",
5447,1,21460,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/21460ltr.pdf","2002-10-21 00:00:00",
36991,2,21460,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/21460lbl.pdf","2002-10-21 00:00:00",
42178,3,21460,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/021460_metaglip.cfm","2003-04-30 00:00:00",
27850,1,21460,"SUPPL",5,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/021460s005ltr.pdf","2007-07-05 00:00:00",
36992,2,21460,"SUPPL",5,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/021460s005lbl.pdf","2007-06-27 00:00:00",
27851,1,21460,"SUPPL",7,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/021460s007ltr.pdf","2008-08-20 00:00:00",
36993,2,21460,"SUPPL",7,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/021460s007lbl.pdf","2008-08-26 00:00:00",
